village,vlcode,state,district,block,population,total_population_village,total_households,total_geographical_area,latitude,longitude,aashray_risk_score,priority,risk_category,risk_model,risk_model_note,coastal_hazard_score,flood_hazard_score,cyclone_hazard_score,rainfall_hazard_score,multi_hazard_score,multi_hazard_category,hazards_available,hazard_contribution,forest_area,net_area_sown,total_unirrigated_land,area_irrigated_by_source,nearest_town_distance_from_village
Akhuadakhini,396796,Odisha,Kendrapara,Marsaghai,561.0,561.0,139.0,108.0,20.397334700465212,86.41258202506911,53.039487429640296,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6901401350681151,0.3,0.6376552984963699,0.4446950457593799,0.530394874296403,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,1.0,71.0,71.0,0.0,16.0
Pokshyot,396701,Odisha,Kendrapara,Marsaghai,1195.0,1195.0,314.0,129.0,20.468229397359124,86.3336068725972,49.21364032799269,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6909957833427163,0.1,0.6950777597638266,0.4303411416807771,0.4921364032799269,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,70.0,62.0,9.0,10.0
Hantapada,396708,Odisha,Kendrapara,Marsaghai,1490.0,1490.0,344.0,150.0,20.445678574295655,86.3668631165517,48.5153105024645,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6868404682611986,0.1,0.6721309448405199,0.4303411416807771,0.485153105024645,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,109.0,13.0,96.0,15.0
Abhaypur,396778,Odisha,Kendrapara,Marsaghai,616.0,616.0,153.0,41.0,20.409508019622827,86.40784286604034,53.2402721401091,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6922548651695029,0.3,0.6431490107934565,0.4446950457593799,0.532402721401091,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,25.0,25.0,0.0,10.0
Orisbindha,396777,Odisha,Kendrapara,Marsaghai,1198.0,1198.0,271.0,104.0,20.41160933526546,86.40077163156619,53.097555265282296,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6846278077185379,0.3,0.6465928047415421,0.4446950457593799,0.5309755526528229,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,88.0,88.0,0.0,15.0
Raichand,396732,Odisha,Kendrapara,Marsaghai,500.0,500.0,108.0,38.0,20.431812677960487,86.35095740147385,48.8286795025407,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6910966354291326,0.1,0.6795583042420472,0.4303411416807771,0.488286795025407,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,31.0,31.0,0.0,10.0
Gaudagan,396714,Odisha,Kendrapara,Marsaghai,1030.0,1030.0,285.0,184.0,20.452280417146277,86.40086705603184,52.72981077521164,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6688320926688467,0.3,0.6508378831983455,0.4446950457593799,0.5272981077521164,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,1.0,96.0,58.0,38.0,14.0
Jokia,396780,Odisha,Kendrapara,Marsaghai,746.0,746.0,175.0,74.0,20.413869181227003,86.4125872370264,51.79091458290698,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6462786447655198,0.3,0.6403461729901515,0.4446950457593799,0.5179091458290698,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,1.0,59.0,59.0,0.0,10.0
Dalaanta,396725,Odisha,Kendrapara,Marsaghai,904.0,904.0,237.0,156.0,20.435494810278527,86.38528745966619,53.20267781316173,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6778686504662699,0.3,0.6589086953594414,0.4446950457593799,0.5320267781316173,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,119.0,9.0,110.0,16.0
Raghunatha Pur,396723,Odisha,Kendrapara,Marsaghai,1977.0,1977.0,487.0,231.0,20.431954859457367,86.4080113904595,51.88019219529868,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6458007034285904,0.3,0.644490807090135,0.4446950457593799,0.5188019219529868,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,2.0,178.0,178.0,0.0,15.0
