village,vlcode,state,district,block,population,total_population_village,total_households,total_geographical_area,latitude,longitude,aashray_risk_score,priority,risk_category,risk_model,risk_model_note,coastal_hazard_score,flood_hazard_score,cyclone_hazard_score,rainfall_hazard_score,multi_hazard_score,multi_hazard_category,hazards_available,hazard_contribution,forest_area,net_area_sown,total_unirrigated_land,area_irrigated_by_source,nearest_town_distance_from_village
Dadhipur,397097,Odisha,Kendrapara,Mahakalapada,1014.0,1014.0,240.0,113.0,20.400579399784256,86.60173231505331,37.747824361401925,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.2297995040709193,0.3,0.5783975329634699,0.4446950457593799,0.3774782436140192,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,2.0,60.0,60.0,0.0,24.0
Adoi,397110,Odisha,Kendrapara,Mahakalapada,711.0,711.0,128.0,306.0,20.398912685780015,86.63638210639913,55.91252710684236,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.1865795060008378,1.0,0.5823054412752837,0.5378752947467564,0.5591252710684236,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,8.0,229.0,229.0,0.0,25.0
Karanja,396924,Odisha,Kendrapara,Mahakalapada,3137.0,3137.0,706.0,610.0,20.403736404271463,86.55735399836462,30.948607677980412,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.1750114446674711,0.1,0.5721745369107474,0.4446950457593799,0.3094860767798041,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,21.0,358.0,358.0,0.0,19.0
Dasi Pur,396902,Odisha,Kendrapara,Marsaghai,1614.0,1614.0,384.0,222.0,20.428667403260658,86.53255581109211,35.83505871118779,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.3310430071088505,0.1,0.5803947033093872,0.4446950457593799,0.3583505871118779,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,1.0,157.0,149.0,8.0,18.0
Adam Pur,396903,Odisha,Kendrapara,Marsaghai,1275.0,1275.0,292.0,219.0,20.43281886227934,86.54851456484448,37.424210353529155,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.3914588824971457,0.1,0.5714617185370877,0.4446950457593799,0.3742421035352916,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,1.0,168.0,168.0,0.0,19.0
Chandia Palli,397061,Odisha,Kendrapara,Mahakalapada,773.0,773.0,166.0,124.0,20.429861218784566,86.5833445568514,36.60017243074844,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.3713345232325544,0.1,0.5626494327433684,0.4446950457593799,0.3660017243074844,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,94.0,94.0,0.0,15.0
Amirabad,397059,Odisha,Kendrapara,Mahakalapada,1334.0,1334.0,296.0,193.0,20.434620872361972,86.57350615180049,38.34879711474033,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.4311936348070815,0.1,0.5607634862136117,0.4446950457593799,0.3834879711474033,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,134.0,134.0,0.0,20.0
Badadihi,397026,Odisha,Kendrapara,Mahakalapada,1203.0,1203.0,260.0,396.0,20.46858710024073,86.63586145245912,49.15971949503407,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.573848174839575,0.3,0.5474707341964679,0.5378752947467564,0.4915971949503407,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,14.0,326.0,326.0,0.0,17.0
Kanpur,397031,Odisha,Kendrapara,Mahakalapada,357.0,357.0,89.0,57.0,20.44805118030589,86.62417255033031,42.63648931816248,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.4106129640484732,0.3,0.5569679792608278,0.4446950457593799,0.4263648931816248,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,44.0,44.0,0.0,20.0
Dia Rajagarh,397056,Odisha,Kendrapara,Mahakalapada,531.0,531.0,108.0,15.0,20.4528995083495,86.54620901334296,46.34032489561547,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.5194692200048181,0.3,0.5744938952113332,0.4446950457593799,0.4634032489561547,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,12.0,12.0,0.0,15.0
Oliha,397045,Odisha,Kendrapara,Mahakalapada,706.0,706.0,146.0,128.0,20.454496578377377,86.56533210311918,48.60709870859419,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6022217421506832,0.3,0.565861821155444,0.4446950457593799,0.4860709870859419,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,97.0,97.0,0.0,16.0
Olihanilakanthapur,397057,Odisha,Kendrapara,Mahakalapada,565.0,565.0,109.0,166.0,20.450562120554657,86.5567971242327,47.21938968643426,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.5529602862158967,0.3,0.5694672073907906,0.4446950457593799,0.4721938968643426,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,3.0,113.0,113.0,0.0,15.0
Balipal,397039,Odisha,Kendrapara,Mahakalapada,925.0,925.0,222.0,156.0,20.456100338438336,86.584290638332,41.97305939810155,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.5548053583504231,0.1,0.5573999092960502,0.4446950457593799,0.4197305939810155,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,1.0,131.0,131.0,0.0,10.0
Arada,397033,Odisha,Kendrapara,Mahakalapada,431.0,431.0,102.0,152.0,20.45477776904264,86.62518429675765,44.14399352314502,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.4631046155604058,0.3,0.55427816564581,0.4446950457593799,0.4414399352314502,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,125.0,125.0,0.0,20.0
Benupal,396922,Odisha,Kendrapara,Mahakalapada,1454.0,1454.0,387.0,195.0,20.408168443234267,86.53506365161543,30.60960002342969,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.1606857471400005,0.1,0.5758050677616829,0.4446950457593799,0.3060960002342969,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,12.0,127.0,127.0,0.0,16.0
Ekalapur,397027,Odisha,Kendrapara,Mahakalapada,548.0,548.0,123.0,136.0,20.452527716397828,86.63996438935003,45.223842707813525,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.4362493376256376,0.3,0.5551542673643707,0.5378752947467564,0.4522384270781352,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,1.0,93.0,93.0,0.0,24.0
Nachhi Pada,397049,Odisha,Kendrapara,Mahakalapada,1225.0,1225.0,291.0,161.0,20.46050150573844,86.53791691647064,43.45846731296998,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.5864415756916774,0.1,0.5788527650812823,0.4446950457593799,0.4345846731296998,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,1.0,136.0,136.0,0.0,17.0
Basaghar,397043,Odisha,Kendrapara,Mahakalapada,139.0,139.0,34.0,83.0,20.463157074274807,86.57664209137639,44.48209669582014,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6358573896211077,0.1,0.5604989636799727,0.4446950457593799,0.4448209669582014,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,69.0,69.0,0.0,17.0
Sahoo Pada,396985,Odisha,Kendrapara,Mahakalapada,0.0,0.0,0.0,44.0,20.487422540951663,86.60548091789015,51.11515139932855,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6998955553265829,0.3,0.5489753529737385,0.4446950457593799,0.5111515139932855,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,5.0,35.0,35.0,0.0,10.0
Batakuli,397096,Odisha,Kendrapara,Mahakalapada,0.0,0.0,0.0,95.0,20.39678973952016,86.60709634626961,56.11961525329032,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.2573714192800627,1.0,0.5801828703880336,0.4446950457593799,0.5611961525329032,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,0.0,0.0,0.0,25.0
Potakani,397108,Odisha,Kendrapara,Mahakalapada,0.0,0.0,0.0,40.0,20.38183063048509,86.62505985776434,36.035365377147436,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.3515938731970068,0.0,0.5892017314520839,0.5378752947467564,0.3603536537714743,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,4.0,0.0,0.0,0.0,20.0
Niyamatpur,397050,Odisha,Kendrapara,Mahakalapada,871.0,871.0,211.0,156.0,20.466804316593397,86.53287024335698,50.33471303737694,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6470115390398077,0.3,0.5812186380398044,0.4446950457593799,0.5033471303737694,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,1.0,122.0,102.0,20.0,17.0
Dahimachha,396921,Odisha,Kendrapara,Mahakalapada,1134.0,1134.0,287.0,70.0,20.39622678345331,86.53404952058325,33.242323659495845,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.2486080731712384,0.1,0.5756072219668436,0.4446950457593799,0.3324232365949584,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,52.0,52.0,0.0,16.0
Rama Chandra Pur,396987,Odisha,Kendrapara,Mahakalapada,839.0,839.0,209.0,125.0,20.480812846572956,86.61959650175369,50.08406894037368,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6702087147334379,0.3,0.5433562633273177,0.4446950457593799,0.5008406894037368,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,3.0,98.0,98.0,0.0,10.0
Jasuapalli,397036,Odisha,Kendrapara,Mahakalapada,1384.0,1384.0,310.0,100.0,20.47172393069573,86.59687137542947,50.54651177934304,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6774441363832482,0.3,0.5531714709063199,0.4446950457593799,0.5054651177934304,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,79.0,79.0,0.0,10.0
Potia,397035,Odisha,Kendrapara,Mahakalapada,686.0,686.0,160.0,169.0,20.47014183045582,86.61286273093862,48.424690406090185,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6120497048397033,0.3,0.5467719338284598,0.4446950457593799,0.4842469040609019,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,2.0,140.0,140.0,0.0,10.0
Alailo,397047,Odisha,Kendrapara,Mahakalapada,2581.0,2581.0,630.0,442.0,20.47245429192586,86.549940839737,50.11076803171889,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6468757068853876,0.3,0.5724238363987864,0.4446950457593799,0.5011076803171889,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,4.0,304.0,304.0,0.0,16.0
Baulapara,397095,Odisha,Kendrapara,Mahakalapada,290.0,290.0,76.0,122.0,20.404540064324493,86.59788492484495,36.70225140173183,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.1972464861702293,0.3,0.5756382360574942,0.4446950457593799,0.3670225140173183,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,4.0,81.0,81.0,0.0,25.0
Gobardhanpur,396923,Odisha,Kendrapara,Mahakalapada,599.0,599.0,132.0,80.0,20.409935831621638,86.54267320129985,31.65375473386935,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.197469525607071,0.1,0.5734307220187849,0.4446950457593799,0.3165375473386935,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,2.0,51.0,51.0,0.0,19.0
Kumbharapara,397098,Odisha,Kendrapara,Mahakalapada,1273.0,1273.0,239.0,127.0,20.405411484593206,86.61368664743695,48.69253346909268,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.1790976867205248,0.8,0.5770280780915735,0.4446950457593799,0.4869253346909268,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,1.0,101.0,101.0,0.0,25.0
Marichakani,397100,Odisha,Kendrapara,Mahakalapada,0.0,0.0,0.0,52.0,20.392689305332606,86.61479599508645,51.945035469996746,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.282465634478337,0.8,0.5830866208183615,0.4446950457593799,0.5194503546999675,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,52.0,52.0,0.0,25.0
Baradia,395618,Odisha,Kendrapara,Rajkanika,396.0,396.0,104.0,42.0,20.738862825066576,86.75175036280997,55.407161662000895,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6975337007056228,0.3,0.5913514057468898,0.6098682748579979,0.5540716166200089,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,21.0,21.0,0.0,32.0
Kusiapal,397069,Odisha,Kendrapara,Mahakalapada,24.0,24.0,6.0,28.0,20.453272547679816,86.66198193689982,43.1684506036149,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.3671839300126125,0.3,0.5558170723320561,0.5378752947467564,0.431684506036149,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,1.0,20.0,20.0,0.0,23.0
Balisahipatna,395912,Odisha,Kendrapara,Rajnagar,1784.0,1784.0,335.0,78.0,20.617356917808262,86.7234077586854,45.3051888546485,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6795960563605226,0.0,0.566392050755908,0.5378752947467564,0.453051888546485,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,60.0,60.0,0.0,26.0
Baulakani,397112,Odisha,Kendrapara,Mahakalapada,5167.0,5167.0,1128.0,385.0,20.402953027188154,86.6675943315665,33.253592919709256,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.265538059362114,0.0,0.5811978097564287,0.5378752947467564,0.3325359291970926,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,27.0,267.0,4.0,263.0,28.0
Petchhela,396058,Odisha,Kendrapara,Mahakalapada,4773.0,4773.0,986.0,1375.0,20.384429676592042,86.66904878106926,36.27755913208548,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.2764826343007063,0.1,0.5890229683251664,0.5378752947467564,0.3627755913208548,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,871.0,128.0,2.0,126.0,31.0
Tanki Belari,397078,Odisha,Kendrapara,Mahakalapada,653.0,653.0,134.0,85.0,20.41258334486581,86.6582202747731,50.412932237381824,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.1758614896521057,0.8,0.5751832661153407,0.5378752947467564,0.5041293223738182,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,39.0,1.0,38.0,25.0
Narasingha Pur,397015,Odisha,Kendrapara,Mahakalapada,264.0,264.0,63.0,82.0,20.49395449523172,86.73438538899786,48.6182481493406,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.563427640494263,0.3,0.5383165215831034,0.5378752947467564,0.486182481493406,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,20.0,32.0,32.0,0.0,30.0
Maladhia,397081,Odisha,Kendrapara,Mahakalapada,561.0,561.0,135.0,193.0,20.415264214988106,86.6491425018879,36.13207870463059,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.1175231924606096,0.3,0.573955081435087,0.5378752947467564,0.3613207870463059,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,3.0,90.0,19.0,71.0,23.0
Babara,396992,Odisha,Kendrapara,Mahakalapada,426.0,426.0,110.0,58.0,20.486884119089716,86.6507939849185,50.97656717735044,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6399763613599638,0.3,0.5407908176646562,0.5378752947467564,0.5097656717735044,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,2.0,40.0,40.0,0.0,17.0
Pancha Gachhia,397018,Odisha,Kendrapara,Mahakalapada,306.0,306.0,76.0,55.0,20.45143306561808,86.69318235901862,39.213952939670435,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.4005484712346101,0.1,0.5575997163078801,0.5378752947467564,0.3921395293967044,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,10.0,32.0,32.0,0.0,28.0
Kakat Pur,396993,Odisha,Kendrapara,Mahakalapada,481.0,481.0,103.0,160.0,20.47802882714294,86.65839119206193,49.13046806533384,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.5753308593145632,0.3,0.5445214556384728,0.5378752947467564,0.4913046806533384,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,5.0,112.0,112.0,0.0,18.0
Jamboo,396057,Odisha,Kendrapara,Mahakalapada,7061.0,7061.0,1588.0,894.0,20.422677933514336,86.72219261121249,46.12712128885288,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.620245003831476,0.1,0.5704906111589391,0.5378752947467564,0.4612712128885288,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,118.0,0.0,0.0,0.0,14.0
Sugal,397021,Odisha,Kendrapara,Mahakalapada,669.0,669.0,141.0,142.0,20.463266221024888,86.67999601632243,39.441585285340395,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.4127285417484918,0.1,0.5520889255180207,0.5378752947467564,0.3944158528534039,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,6.0,94.0,94.0,0.0,28.0
Bhitarsubala,397079,Odisha,Kendrapara,Mahakalapada,931.0,931.0,192.0,132.0,20.42048375006658,86.66445366729555,38.53373431343708,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.1988729417992274,0.3,0.5724016065810054,0.5378752947467564,0.3853373431343708,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,1.0,60.0,3.0,56.0,35.0
Maladhia,397004,Odisha,Kendrapara,Mahakalapada,0.0,0.0,0.0,213.0,20.485960037377655,86.72965198135613,48.39014024874712,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.5535186269912332,0.3,0.5410830217630004,0.5378752947467564,0.4839014024874712,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,16.0,0.0,0.0,0.0,40.0
Badatota Chhapali,397077,Odisha,Kendrapara,Mahakalapada,1994.0,1994.0,466.0,538.0,20.416104920429927,86.6824818140539,35.33760409722492,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.3420836476756923,0.0,0.5727035508807607,0.5378752947467564,0.3533760409722492,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,8.0,214.0,20.0,194.0,33.0
Bara Danga,397067,Odisha,Kendrapara,Mahakalapada,1603.0,1603.0,436.0,295.0,20.43609556723784,86.65273094347624,40.61483936284102,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.2755383429269621,0.3,0.5636473272038816,0.5378752947467564,0.4061483936284102,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,3.0,125.0,46.0,79.0,32.0
Kalatunga,396995,Odisha,Kendrapara,Mahakalapada,1233.0,1233.0,292.0,394.0,20.4790058057392,86.68087347923672,48.06715116597443,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.5391803497513,0.3,0.5453693911400123,0.5378752947467564,0.4806715116597443,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,68.0,0.0,0.0,0.0,27.0
Pankapal,397073,Odisha,Kendrapara,Mahakalapada,305.0,305.0,72.0,56.0,20.434470112633385,86.67329693946269,39.91040854494129,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.2506318683300702,0.3,0.5653578640041623,0.5378752947467564,0.3991040854494129,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,5.0,36.0,36.0,0.0,25.0
Baliganda Ratanpur,396997,Odisha,Kendrapara,Mahakalapada,953.0,953.0,260.0,132.0,20.494568567334916,86.67165326727283,44.56218841230174,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6782171566857877,0.0,0.5383267126717194,0.5378752947467564,0.4456218841230174,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,6.0,81.0,81.0,0.0,24.0
Radia,397028,Odisha,Kendrapara,Mahakalapada,1030.0,1030.0,233.0,136.0,20.453772523251573,86.65440529732419,44.199068626106595,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.4013394877242435,0.3,0.5560551239777666,0.5378752947467564,0.4419906862610659,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,76.0,76.0,0.0,20.0
Kharianta,397023,Odisha,Kendrapara,Mahakalapada,813.0,813.0,184.0,139.0,20.460961790641832,86.66562067951725,44.84652902882654,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.4255507932722453,0.3,0.5528999734289621,0.5378752947467564,0.4484652902882654,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,11.0,78.0,78.0,0.0,26.0
Bhateni,397075,Odisha,Kendrapara,Mahakalapada,1444.0,1444.0,280.0,528.0,20.424965292828922,86.7016821037421,41.520512933373,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.4666658641750698,0.1,0.570521244527431,0.5378752947467564,0.41520512933373,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,105.0,224.0,224.0,0.0,42.0
Badamatha,397080,Odisha,Kendrapara,Mahakalapada,874.0,874.0,222.0,160.0,20.430372944216387,86.66137993043552,38.566234357135684,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.2043232184097659,0.3,0.5671612763963032,0.5378752947467564,0.3856623435713568,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,65.0,22.0,44.0,35.0
Bagagahan,397074,Odisha,Kendrapara,Mahakalapada,959.0,959.0,217.0,213.0,20.43301533084019,86.68799384966186,38.37635650642627,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.3656211160170567,0.1,0.5660086852391775,0.5378752947467564,0.3837635650642627,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,42.0,122.0,122.0,0.0,23.0
Kansapal,397076,Odisha,Kendrapara,Mahakalapada,591.0,591.0,137.0,148.0,20.424114176075648,86.68879665355385,38.515339864332596,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.3658405144436962,0.1,0.5713047414434633,0.5378752947467564,0.385153398643326,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,84.0,0.0,0.0,0.0,32.0
Kansara,397071,Odisha,Kendrapara,Mahakalapada,828.0,828.0,196.0,200.0,20.44437795307161,86.67008841695355,40.77610815271325,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.2830176712684611,0.3,0.5611228847889717,0.5378752947467564,0.4077610815271325,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,2.0,156.0,156.0,0.0,25.0
Badadandua,397072,Odisha,Kendrapara,Mahakalapada,944.0,944.0,201.0,201.0,20.443338784580714,86.68557980324546,37.63323626621658,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.3448128694710634,0.1,0.5612537714859822,0.5378752947467564,0.3763323626621658,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,14.0,127.0,127.0,0.0,24.0
