village,vlcode,block,district,latitude,longitude,annual_rainfall_mm,mean_daily_rainfall_mm,max_daily_rainfall_mm,rainy_days,heavy_rain_days,very_heavy_rain_days,extremely_heavy_rain_days,max_3day_rainfall_mm,max_7day_rainfall_mm,max_30day_rainfall_mm,rainfall_hazard_score,rainfall_hazard_category,rainfall_data_source,rainfall_resolution
Bhitarkanika,395806,Rajnagar,Kendrapara,20.72065593036725,86.86764576314651,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Hansina Dia,395848,Rajnagar,Kendrapara,20.643001755550657,86.77993406893975,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Debendranarayanpur,395875,Rajnagar,Kendrapara,20.63430378978712,86.86445096675246,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Sangopalpur,395889,Rajnagar,Kendrapara,20.611705989407298,86.82901998048067,1416.3522049933672,3.8698147677414405,100.4802474975586,94.0,2.0,0.0,0.0,219.51153945922852,234.21389782428741,303.70591466128826,0.5378752947467564,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Matia,395611,Rajkanika,Kendrapara,20.76759565524123,86.70233588824297,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Porala,395669,Rajkanika,Kendrapara,20.72502468236245,86.72459875338231,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Satagharia,395659,Rajkanika,Kendrapara,20.730847177088314,86.66791708334546,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Ektala,395612,Rajkanika,Kendrapara,20.759119061607134,86.69990186734309,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Mahurigan,395613,Rajkanika,Kendrapara,20.757921188455388,86.71054665757606,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Deuli,395617,Rajkanika,Kendrapara,20.747987549460646,86.74987573592333,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Baranga,395622,Rajkanika,Kendrapara,20.75442834513538,86.740257228882,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Taras,395624,Rajkanika,Kendrapara,20.754317439772286,86.72754235073319,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Ostia,395614,Rajkanika,Kendrapara,20.760366951766173,86.72096454487853,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Saradaprasad,395762,Rajnagar,Kendrapara,20.7611979788768,86.84673004859775,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Langalabhanja,395610,Rajkanika,Kendrapara,20.76528369172444,86.68937228583994,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Endulapur,395684,Rajkanika,Kendrapara,20.725136775531915,86.79428590153601,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Gokarneswar,395663,Rajkanika,Kendrapara,20.727435583569154,86.69962424312561,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Kantapada,395664,Rajkanika,Kendrapara,20.73708625188513,86.70559771916324,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Badagara,395665,Rajkanika,Kendrapara,20.73827013804101,86.71701574161824,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Kalikapur,395668,Rajkanika,Kendrapara,20.727601475932694,86.71673409694665,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Burudia,395623,Rajkanika,Kendrapara,20.755226849673154,86.73247671027846,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Bajarpur,395685,Rajkanika,Kendrapara,20.7317447482677,86.80335477720628,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Cherantapada,395667,Rajkanika,Kendrapara,20.725167744714298,86.70733981737415,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Panki,395607,Rajkanika,Kendrapara,20.779026066005148,86.6731639716527,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Gunthala,395604,Rajkanika,Kendrapara,20.78498487860992,86.64682781194544,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Upulei,395680,Rajkanika,Kendrapara,20.731473596923788,86.77691972575153,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Olaver,395656,Rajkanika,Kendrapara,20.729880417173725,86.65938050749183,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Hariharpursasan,395672,Rajkanika,Kendrapara,20.734869850109384,86.74308860210013,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Rajendranarayanpur,395802,Rajnagar,Kendrapara,20.73391750460057,86.83402051964114,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Ganja,395660,Rajkanika,Kendrapara,20.73002908393719,86.68670086943882,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Baghuasuni,395621,Rajkanika,Kendrapara,20.745365610633783,86.73544151722518,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Bangarakuan,395616,Rajkanika,Kendrapara,20.760520863440593,86.75539031767792,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Gualigan,395615,Rajkanika,Kendrapara,20.765080430582223,86.73635534379112,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Gobindapur,395633,Rajkanika,Kendrapara,20.740215357417256,86.68746320208862,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Sialia,395625,Rajkanika,Kendrapara,20.74056497012651,86.72492743129246,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Badataila,395628,Rajkanika,Kendrapara,20.750984764870452,86.70608249114264,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Jagulaipada,395630,Rajkanika,Kendrapara,20.75307642943644,86.69494024271043,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Barada,395627,Rajkanika,Kendrapara,20.753612763219373,86.71815895538049,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Arasa,395626,Rajkanika,Kendrapara,20.74402472986528,86.7152521998199,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Sikudi,395619,Rajkanika,Kendrapara,20.74254391636842,86.74507410779351,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Bahadiha,395609,Rajkanika,Kendrapara,20.775799717178053,86.69448781231375,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Manapur,395605,Rajkanika,Kendrapara,20.78506102584726,86.65634056490708,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Malisahada,395673,Rajkanika,Kendrapara,20.72762925803411,86.74119666183012,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Kalisipada,395674,Rajkanika,Kendrapara,20.727839991133962,86.73333944528747,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Pimpudi,395670,Rajkanika,Kendrapara,20.73014853569527,86.72613650938524,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Gangadharpur,395666,Rajkanika,Kendrapara,20.73244389578312,86.71431676326677,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Balibhanda,395654,Rajkanika,Kendrapara,20.73028370383318,86.64400436080263,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Madhupara,395677,Rajkanika,Kendrapara,20.730843283742708,86.74801678493031,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Patuli,395636,Rajkanika,Kendrapara,20.735838609222622,86.65882227883726,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Mantapara,395678,Rajkanika,Kendrapara,20.726605131742723,86.75928755636828,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Pratappur,395637,Rajkanika,Kendrapara,20.73899292879284,86.65243540720196,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Akhulipada,395671,Rajkanika,Kendrapara,20.738327296065197,86.73065672442848,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Balarampur,395635,Rajkanika,Kendrapara,20.73933902080689,86.66745261407141,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Baghabuda,395629,Rajkanika,Kendrapara,20.74210129976991,86.70188432979262,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Govindpur,395803,Rajnagar,Kendrapara,20.737889197746547,86.82238420018473,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Safalanga,395634,Rajkanika,Kendrapara,20.74904040572476,86.6736696650909,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Pegarapada,395639,Rajkanika,Kendrapara,20.75013898814754,86.64923140752148,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Nahuni,395638,Rajkanika,Kendrapara,20.75340086782049,86.66115411209188,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Achinta,395631,Rajkanika,Kendrapara,20.74587815704163,86.69357258253967,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Domanda Kaema,395606,Rajkanika,Kendrapara,20.769328109132033,86.64756564264883,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Nuagan,395608,Rajkanika,Kendrapara,20.761475404307838,86.67644563751924,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Upulei Dia,395681,Rajkanika,Kendrapara,20.733343827738256,86.78761133427412,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Sanataila,395632,Rajkanika,Kendrapara,20.745917651201772,86.68598652170711,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Nuagan,395686,Rajkanika,Kendrapara,20.740756582294125,86.80339500478107,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Durgaprasad,395801,Rajnagar,Kendrapara,20.74391873828145,86.84129913778297,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Ragadapatia,395800,Rajnagar,Kendrapara,20.745307930370657,86.84823951388671,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Bankual,395799,Rajnagar,Kendrapara,20.748180863319746,86.85956002409074,1439.8138199448586,3.933917540832947,122.3011703491211,89.0,2.0,1.0,0.0,254.9297924041748,270.06409645080566,334.2525098323822,0.6098682748579979,HIGH,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
