village,vlcode,coastal_hazard_score,flood_hazard_score,cyclone_hazard_score,rainfall_hazard_score,multi_hazard_score,multi_hazard_category,hazards_available,hazard_contribution
Potari,396892,0.6859640399182623,1.0,0.6048792410618526,0.4123689316052198,0.6894828085619858,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Raipur,396958,0.6456726243111466,0.8,0.5936492345355167,0.4123689316052198,0.6245878822482671,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Samjori,396954,0.6002949846269071,0.8,0.5892053073539438,0.4123689316052198,0.609863608547602,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Pailo,396872,0.6787402884906402,1.0,0.6268565008338928,0.4123689316052198,0.6928099980767092,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Barunei,396075,0.6293740968739818,0.1,0.5321510808185288,0.5378752947467564,0.45442505821617807,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Madhuraganda Khamar,396953,0.5235164543991259,0.8,0.5864943152080537,0.4123689316052198,0.5861523014427951,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Khurusia,396962,0.6740096674172553,0.8,0.5958352425862306,0.4123689316052198,0.6336354971927781,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Nachhipada,396888,0.6940839819993072,0.0,0.6114302596646016,0.4123689316052198,0.44355654583698656,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Manikipur,396880,0.6834658600043848,0.3,0.6159273132743628,0.4446950457593799,0.5229605954717821,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Gopalapur,396948,0.47817911535341245,0.0,0.5968781828835172,0.4123689316052198,0.375147066647947,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Mantei,396874,0.685448110599038,0.0,0.620718684068983,0.4123689316052198,0.4432878905180011,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Antei,396873,0.6807485201035912,1.0,0.6223304372471206,0.4123689316052198,0.6922809516639015,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Beruhan,396942,0.5890823995966901,0.0,0.6035569872672355,0.4123689316052198,0.41008775301685985,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Khamagan,396882,0.6872713143100129,0.3,0.6121152488896451,0.4123689316052198,0.516683992836459,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Naladiapalanda,396956,0.6747640503580432,0.1,0.596004483194529,0.4123689316052198,0.4589041222270892,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Badaghai,396955,0.6286561784301672,0.3,0.5932994283093858,0.4123689316052198,0.49439549692744056,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Batira,396887,0.6778404116040326,0.1,0.6099231908923584,0.4123689316052198,0.4633067075253433,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Nuagan,396945,0.6690564407867261,0.0,0.5971157363839901,0.4123689316052198,0.4324696526530593,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Dhaniapada,396944,0.6401380730178092,1.0,0.601304043080105,0.4123689316052198,0.674841218996413,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
