date,village,vlcode,rainfall_mm,rainfall_3day,rainfall_7day,rainfall_30day,rainfall_trigger,mean_susceptibility,median_susceptibility,max_susceptibility,high_risk_pixels,very_high_risk_pixels,high_risk_percentage,very_high_risk_percentage,dynamic_risk,risk_category
2024-01-01,Thrikkaipatta Part,627338,0.0,0.0,0.0,0.0,0.0,0.2401052713394165,0.1707943081855774,0.9737507700920105,4990,1094,18.359763052356598,4.025166488833291,0.16807368993759153,LOW
2024-01-01,Vellarimala,627340,0.0,0.0,0.0,0.0,0.0,0.28822436928749084,0.2474726140499115,0.9893639087677002,13205,3591,21.44783004158004,5.832575363825364,0.2017570585012436,LOW
2024-01-01,Kottappadi Part,627337,0.0,0.0,0.0,0.0,0.0,0.2568320631980896,0.18591204285621643,0.983701765537262,10215,2767,18.140649973361747,4.91386965015095,0.17978244423866271,LOW
2024-01-02,Thrikkaipatta Part,627338,0.0,0.0,0.0,0.0,0.0,0.2401052713394165,0.1707943081855774,0.9737507700920105,4990,1094,18.359763052356598,4.025166488833291,0.16807368993759153,LOW
2024-01-02,Vellarimala,627340,0.0,0.0,0.0,0.0,0.0,0.28822436928749084,0.2474726140499115,0.9893639087677002,13205,3591,21.44783004158004,5.832575363825364,0.2017570585012436,LOW
2024-01-02,Kottappadi Part,627337,0.0,0.0,0.0,0.0,0.0,0.2568320631980896,0.18591204285621643,0.983701765537262,10215,2767,18.140649973361747,4.91386965015095,0.17978244423866271,LOW
2024-01-03,Thrikkaipatta Part,627338,0.0,0.0,0.0,0.0,0.0,0.2401052713394165,0.1707943081855774,0.9737507700920105,4990,1094,18.359763052356598,4.025166488833291,0.16807368993759153,LOW
2024-01-03,Vellarimala,627340,0.0,0.0,0.0,0.0,0.0,0.28822436928749084,0.2474726140499115,0.9893639087677002,13205,3591,21.44783004158004,5.832575363825364,0.2017570585012436,LOW
2024-01-03,Kottappadi Part,627337,0.0,0.0,0.0,0.0,0.0,0.2568320631980896,0.18591204285621643,0.983701765537262,10215,2767,18.140649973361747,4.91386965015095,0.17978244423866271,LOW
2024-01-04,Thrikkaipatta Part,627338,20.580349,20.580349,20.580349,20.580349,0.0,0.2401052713394165,0.1707943081855774,0.9737507700920105,4990,1094,18.359763052356598,4.025166488833291,0.16807368993759153,LOW
2024-01-04,Vellarimala,627340,20.580349,20.580349,20.580349,20.580349,0.0,0.28822436928749084,0.2474726140499115,0.9893639087677002,13205,3591,21.44783004158004,5.832575363825364,0.2017570585012436,LOW
2024-01-04,Kottappadi Part,627337,20.580349,20.580349,20.580349,20.580349,0.0,0.2568320631980896,0.18591204285621643,0.983701765537262,10215,2767,18.140649973361747,4.91386965015095,0.17978244423866271,LOW
2024-01-05,Thrikkaipatta Part,627338,11.327646,31.907995,31.907995,31.907995,0.0,0.2401052713394165,0.1707943081855774,0.9737507700920105,4990,1094,18.359763052356598,4.025166488833291,0.16807368993759153,LOW
2024-01-05,Vellarimala,627340,11.327646,31.907995,31.907995,31.907995,0.0,0.28822436928749084,0.2474726140499115,0.9893639087677002,13205,3591,21.44783004158004,5.832575363825364,0.2017570585012436,LOW
2024-01-05,Kottappadi Part,627337,11.327646,31.907995,31.907995,31.907995,0.0,0.2568320631980896,0.18591204285621643,0.983701765537262,10215,2767,18.140649973361747,4.91386965015095,0.17978244423866271,LOW
2024-01-06,Thrikkaipatta Part,627338,1.8572661,33.7652611,33.7652611,33.7652611,0.0,0.2401052713394165,0.1707943081855774,0.9737507700920105,4990,1094,18.359763052356598,4.025166488833291,0.16807368993759153,LOW
2024-01-06,Vellarimala,627340,1.8572661,33.7652611,33.7652611,33.7652611,0.0,0.28822436928749084,0.2474726140499115,0.9893639087677002,13205,3591,21.44783004158004,5.832575363825364,0.2017570585012436,LOW
