village,vlcode,significant_cyclone_events,cyclones_within_50km,cyclones_within_100km,cyclones_within_200km,nearest_cyclone_distance_km,maximum_nearby_wind_kt,strongest_cyclone_event,strongest_cyclone_name,maximum_event_score,frequency_score,cyclone_hazard_score,cyclone_hazard_category
Bhanja Prasad,395778,20,3,13,20,7.815825749958812,140.0,2024_11,DANA,0.37622736549309344,1.0,0.5633591558451654,MODERATE
Dantiapada,396071,20,3,13,20,10.80387496499107,140.0,1984_4,,0.37095925963101606,1.0,0.5596714817417112,LOW
Keruapal,395786,20,3,13,20,4.54067505615287,140.0,2024_11,DANA,0.39733489963840674,1.0,0.5781344297468847,HIGH
Bagapatia Uttar,395827,20,3,13,20,8.69559299123628,140.0,1984_4,,0.4016469931769003,1.0,0.5811528952238302,HIGH
Sourendrapur,395793,20,3,13,20,6.972663960042254,140.0,2024_11,DANA,0.3815516974657697,1.0,0.5670861882260387,MODERATE
Pravati,396064,20,3,13,20,2.279035960583201,140.0,2024_11,DANA,0.41259788967250055,1.0,0.5888185227707503,HIGH
Harina Pokhari,395795,20,3,13,20,7.703079907553967,140.0,2024_11,DANA,0.37693499799436403,1.0,0.5638544985960547,MODERATE
Magarkanda,395833,20,3,13,20,11.792052964577431,140.0,1984_4,,0.38144470919395146,1.0,0.567011296435766,MODERATE
Satavaya,396069,20,3,13,20,9.19670359987128,140.0,2024_11,DANA,0.3676675103443756,1.0,0.5573672572410628,LOW
Manjulapalli,396066,20,3,13,20,6.453191911681628,140.0,2024_11,DANA,0.3848694631596624,1.0,0.5694086242117636,MODERATE
Barahipur,396068,20,3,13,20,9.03227927568024,140.0,2024_11,DANA,0.36867645019699724,1.0,0.558073515137898,LOW
Bagapatia,395834,20,3,13,20,8.104376351930105,140.0,1984_4,,0.405624229155558,1.0,0.5839369604088906,HIGH
Amarabati,395790,20,3,13,20,6.2168894944324595,140.0,2024_11,DANA,0.3863882116372182,1.0,0.5704717481460527,MODERATE
Sailendranarayanpur,395811,20,3,13,20,7.59681833215644,140.0,1984_4,,0.40907008052808974,1.0,0.5863490563696627,HIGH
Gopaljew Patana,395808,20,3,13,20,9.115351129948385,140.0,1984_4,,0.3988468894124323,1.0,0.5791928225887026,HIGH
Rajpatana,395779,20,3,13,20,7.030524188783198,140.0,2024_11,DANA,0.3811839303451533,1.0,0.5668287512416073,MODERATE
Kanak Nagar,395771,20,4,11,20,11.978037234882107,140.0,1984_4,,0.3802641612354518,1.0,0.5661849128648162,MODERATE
Sailendranarayanpur Purbajungal Block,395810,20,3,13,20,8.358829969515451,140.0,1984_4,,0.40390766240862713,1.0,0.582735363686039,HIGH
Talchua,396062,20,3,11,20,8.87022519218599,140.0,2024_11,DANA,0.36967355486892617,1.0,0.5587714884082483,LOW
Sailendranagar,395772,20,4,11,20,11.549097726706972,140.0,1984_4,,0.37441296805333674,1.0,0.5620890776373357,MODERATE
Baghua,395769,20,4,11,20,10.604266884606306,140.0,1984_4,,0.3890711939964244,1.0,0.572349835797497,MODERATE
Rajendranagar,395774,20,3,11,20,9.622649080831016,140.0,2024_11,DANA,0.3650666479052658,1.0,0.555546653533686,LOW
Rajeswarinagar,395773,20,3,11,20,10.704661783918732,140.0,1984_4,,0.3681554319124486,1.0,0.557708802338714,LOW
Tikayat Nagar,395775,20,3,11,20,8.56298261356965,140.0,2024_11,DANA,0.3715714008183017,1.0,0.5600999805728112,LOW
Birabhanjapur,395776,20,3,13,20,8.019186559830995,140.0,2024_11,DANA,0.37495435901294394,1.0,0.5624680513090607,MODERATE
Chanra Kolha,395792,20,3,13,20,6.892906276955394,140.0,2024_11,DANA,0.38205922937690784,1.0,0.5674414605638354,MODERATE
Garta,395791,20,3,13,20,5.422432012638325,140.0,2024_11,DANA,0.39153838308770744,1.0,0.5740768681613952,MODERATE
Habelichintamanipur,395829,20,3,13,20,2.658400567784724,140.0,2024_11,DANA,0.4099973689428442,1.0,0.5869981582599909,HIGH
Baunsagarh,395832,20,3,13,20,9.336150512705368,140.0,1984_4,,0.3723205693117051,1.0,0.5606243985181936,LOW
Sanagahiramatha,395830,20,3,13,20,4.317648316009648,140.0,2024_11,DANA,0.3988145864726308,1.0,0.5791702105308415,HIGH
Gopaljewpatna J Block,395809,20,3,13,20,8.521255430061593,140.0,1984_4,,0.4028157262593194,1.0,0.5819710083815235,HIGH
Pata Paria,395807,20,3,13,20,9.955986442117403,140.0,1984_4,,0.38858882042723086,1.0,0.5720121742990616,MODERATE
Giria Pahi,395787,20,3,13,20,5.5740217535459555,140.0,2024_11,DANA,0.3905504116319215,1.0,0.573385288142345,MODERATE
Vekta,395798,20,3,11,20,9.08847288635573,140.0,1984_4,,0.3720347724980369,1.0,0.5604243407486258,LOW
Sikar Pahi,395794,20,3,13,20,8.25426374579895,140.0,2024_11,DANA,0.37348817950669233,1.0,0.5614417256546846,MODERATE
Baghamari,395789,20,3,13,20,7.463687728337991,140.0,2024_11,DANA,0.3784419237237908,1.0,0.5649093466066535,MODERATE
Radhamalipur,395788,20,3,13,20,6.915897147030582,140.0,2024_11,DANA,0.38191285952005793,1.0,0.5673390016640405,MODERATE
Jyoti Prasad,395777,20,3,13,20,7.7495728146763625,140.0,2024_11,DANA,0.37664303106468544,1.0,0.5636501217452798,MODERATE
Sahebnagar,395881,20,3,13,20,13.069458887564766,140.0,1984_4,,0.3734095518316183,1.0,0.5613866862821328,MODERATE
Suravi,395780,20,3,13,20,7.561251938650755,140.0,2024_11,DANA,0.37782705064870076,1.0,0.5644789354540904,MODERATE
Sadanandapur,395876,20,3,13,20,12.91999926265939,140.0,1984_4,,0.37434087216582335,1.0,0.5620386105160764,MODERATE
Tentuliakolha,395877,20,3,13,20,12.24290104220802,140.0,1984_4,,0.37047413128414103,1.0,0.5593318918988988,LOW
Badagahiramatha,395831,20,3,13,20,5.475820897579618,140.0,2024_11,DANA,0.39119014141789227,1.0,0.5738330989925245,MODERATE
Kaduanasi,395828,20,3,13,20,4.213812793385673,140.0,2024_11,DANA,0.39950536938220366,1.0,0.5796537585675425,HIGH
Pinchapatia,395767,20,4,11,20,9.784365922495821,140.0,1984_4,,0.39442435028396255,1.0,0.5760970451987737,MODERATE
Subarnpur,395768,20,4,11,20,10.246319112506866,140.0,1984_4,,0.3913992508994922,1.0,0.5739794756296446,MODERATE
Hukitola,396061,21,5,14,21,32.226959522687984,140.0,1999_7,,0.3959512686880267,1.0,0.5771658880816186,MODERATE
Talapatta,396052,20,2,13,20,17.56841651493053,140.0,1984_4,,0.3464342979528976,1.0,0.5425040085670283,LOW
