village,vlcode,significant_cyclone_events,cyclones_within_50km,cyclones_within_100km,cyclones_within_200km,nearest_cyclone_distance_km,maximum_nearby_wind_kt,strongest_cyclone_event,strongest_cyclone_name,maximum_event_score,frequency_score,cyclone_hazard_score,cyclone_hazard_category
Palli Garh,397123,21,3,15,21,40.831478092232025,140.0,1999_7,,0.43669343020092893,1.0,0.6056854011406503,VERY HIGH
Batighar,396060,21,6,15,21,39.724704400411106,140.0,1999_7,,0.44987826495247357,1.0,0.6149147854667314,VERY HIGH
Barakoli Khala,397137,21,6,15,21,40.58012518691359,140.0,1999_7,,0.45484388131033454,1.0,0.6183907169172341,VERY HIGH
Banabiharipur,397126,21,5,15,21,41.77841750326075,140.0,1999_7,,0.4534954893371797,1.0,0.6174468425360258,VERY HIGH
Nipania,397134,21,6,15,21,41.93053207390007,140.0,1999_7,,0.46250536061206704,1.0,0.6237537524284469,VERY HIGH
Baraja Bahakuda,397125,21,3,15,21,40.557324026103814,140.0,1999_7,,0.4411991630580149,1.0,0.6088394141406104,VERY HIGH
Ramanagar,397128,21,2,15,21,38.805715572301466,140.0,1999_7,,0.43229704164339294,1.0,0.602607929150375,VERY HIGH
Bahakuda Pitapat,397124,21,3,15,21,42.288628759450546,140.0,1999_7,,0.4501764878104643,1.0,0.6151235414673251,VERY HIGH
Badatubi,397127,21,6,15,21,41.36326593609681,140.0,1999_7,,0.45452871404485884,1.0,0.6181700998314011,VERY HIGH
Sanatubi,397133,21,6,15,21,39.43541296162672,140.0,1999_7,,0.4448133811645061,1.0,0.6113693668151543,VERY HIGH
Kentia,397114,21,2,15,21,38.35581806447448,140.0,1999_7,,0.41867779653562437,1.0,0.593074457574937,HIGH
Hetamundia,397138,21,6,15,21,38.04408576356411,140.0,1999_7,,0.44401104671051383,1.0,0.6108077326973597,VERY HIGH
Kasoti,396910,21,2,10,21,45.845947760186185,140.0,1999_7,,0.4394844949605176,1.0,0.6076391464723623,VERY HIGH
Badapaldia,396913,21,1,10,21,43.9032128469527,140.0,1999_7,,0.41827467206313895,1.0,0.5927922704441972,HIGH
Kharinasi,396059,21,2,15,21,36.61497604093251,140.0,1999_7,,0.4220244842948379,1.0,0.5954171390063865,HIGH
Bhitara Kharinasi,397130,21,5,15,21,35.87068899883319,140.0,1999_7,,0.42026161537153645,1.0,0.5941831307600756,HIGH
Bikeikani,396020,20,2,13,20,16.944987391872186,140.0,1984_4,,0.3500526843036288,1.0,0.5450368790125402,LOW
Baulanga,396782,23,3,10,23,46.11839127787267,140.0,1999_7,,0.46364326187205235,1.0,0.6245502833104366,VERY HIGH
Bandha Kata,396720,23,3,9,23,46.60868969623385,140.0,1999_7,,0.4598699738788239,1.0,0.6219089817151766,VERY HIGH
Gobind Pur,397052,20,1,9,20,37.963869673085966,140.0,1999_7,,0.4094184861540297,1.0,0.5865929403078207,HIGH
Gohipur,396053,20,2,13,20,17.3023882241042,140.0,1984_4,,0.347973730271677,1.0,0.5435816111901739,LOW
Talasanga,396788,23,2,10,23,48.44463627293566,140.0,1999_7,,0.4460114723438104,1.0,0.6122080306406672,VERY HIGH
Sanagan,396935,21,1,10,21,43.944517159179924,140.0,1999_7,,0.39685731431756804,1.0,0.5778001200222975,HIGH
Kuhudi,396536,21,2,9,21,40.627947139824045,140.0,1999_7,,0.4383568435817241,1.0,0.6068497905072068,VERY HIGH
Jaudia,396018,20,2,13,20,16.055083800539624,140.0,1984_4,,0.355283263359713,1.0,0.5486982843517991,LOW
Badapal,396912,21,1,10,21,45.07032012810951,140.0,1999_7,,0.42281002650674504,1.0,0.5959670185547215,VERY HIGH
Narasingpur,396790,23,3,10,23,45.49678064953666,140.0,1999_7,,0.46847165651903433,1.0,0.627930159563324,VERY HIGH
Manitiri,396894,21,3,9,21,46.31319421467218,140.0,1999_7,,0.46177877931043176,1.0,0.6232451455173023,VERY HIGH
Puruso Tamapur,396899,21,2,9,21,43.807859580489726,140.0,1999_7,,0.4354354446015446,1.0,0.6048048112210812,VERY HIGH
Baikuntha Pur,396721,23,3,9,23,45.02557230821526,140.0,1999_7,,0.47216527058651786,1.0,0.6305156894105625,VERY HIGH
Badagan,396937,21,1,10,21,45.95870051763627,140.0,1999_7,,0.4132820203662371,1.0,0.589297414256366,HIGH
Tulasi Pur,396914,21,1,10,21,44.412131796656105,140.0,1999_7,,0.42754328214698045,1.0,0.5992802975028864,VERY HIGH
Bhagabanpur,396949,23,1,10,23,47.91253972206367,140.0,1999_7,,0.43036914111607033,1.0,0.6012583987812492,VERY HIGH
Gayaspur,397053,20,1,9,20,39.26192171775037,140.0,1999_7,,0.4095071120866891,1.0,0.5866549784606823,HIGH
Posta,396540,21,1,9,21,41.403518087383695,140.0,1999_7,,0.43016739132696385,1.0,0.6011171739288746,VERY HIGH
Juna,396909,21,2,9,21,44.65509563107291,140.0,1999_7,,0.43624889858387206,1.0,0.6053742290087104,VERY HIGH
Narayanpur,396519,21,2,9,21,41.646471765297434,140.0,1999_7,,0.44632108792392877,1.0,0.6124247615467502,VERY HIGH
Jaripada,396542,21,1,9,21,40.43254148845761,140.0,1999_7,,0.43109550890695464,1.0,0.6017668562348681,VERY HIGH
Hatia,396896,21,2,9,21,43.97769634218365,140.0,1999_7,,0.4521071607962157,1.0,0.616475012557351,VERY HIGH
Manikunda,396897,21,2,9,21,44.62115653727987,140.0,1999_7,,0.4519937246680399,1.0,0.6163956072676279,VERY HIGH
Bachharai,396717,21,3,9,21,45.73139311686635,140.0,1999_7,,0.46664341173680807,1.0,0.6266503882157657,VERY HIGH
Godhan,396718,21,3,9,21,45.96688108279085,140.0,1999_7,,0.45778317677820934,1.0,0.6204482237447465,VERY HIGH
Baghadia,396016,20,2,13,20,15.545915264527325,140.0,1984_4,,0.35831107673460544,1.0,0.5508177537142238,LOW
Kurutunga,396539,21,1,9,21,41.94958028336326,140.0,1999_7,,0.43444333507544647,1.0,0.6041103345528125,VERY HIGH
Thauri,396541,21,1,9,21,40.6948295017576,140.0,1999_7,,0.42319175705559164,1.0,0.5962342299389141,VERY HIGH
Podana,396791,23,2,10,23,44.7087387618838,140.0,1999_7,,0.4746651618081278,1.0,0.6322656132656894,VERY HIGH
Haladia,396941,23,2,10,23,48.796255466836904,140.0,1999_7,,0.4399462025568017,1.0,0.6079623417897612,VERY HIGH
Dara Bachha,396898,21,2,9,21,44.633675291162604,140.0,1999_7,,0.44527802199423777,1.0,0.6116946153959664,VERY HIGH
Bhusaranga,396879,23,2,10,23,48.06810484831511,140.0,1999_7,,0.4488192287849331,1.0,0.6141734601494531,VERY HIGH
Raghabapur,396792,23,2,9,23,44.74814483490141,140.0,1999_7,,0.47435351932396513,1.0,0.6320474635267755,VERY HIGH
Athabatia,396938,21,1,10,21,46.15214350562548,140.0,1999_7,,0.42185428672569625,1.0,0.5952980007079873,HIGH
Jay Chandrapur,396936,21,1,10,21,44.748587500086984,140.0,1999_7,,0.4075544302487282,1.0,0.5852881011741097,HIGH
Sasanipada,396787,23,2,10,23,47.88806433744696,140.0,1999_7,,0.44461714317067974,1.0,0.6112320002194758,VERY HIGH
Balikuda,396918,21,1,10,21,45.10040761528848,140.0,1999_7,,0.4174516840309581,1.0,0.5922161788216707,HIGH
Garajanga,396939,21,1,10,21,46.71984200322778,140.0,1999_7,,0.43369745257073744,1.0,0.6035882167995161,VERY HIGH
Aitipur,396919,21,1,10,21,44.47883580460036,140.0,1999_7,,0.4118381330305883,1.0,0.5882866931214118,HIGH
Kusun Pur,396915,21,1,10,21,43.616396195132246,140.0,1999_7,,0.4218309574578607,1.0,0.5952816702205024,HIGH
Pikarali,396789,23,2,10,23,46.53015482276049,140.0,1999_7,,0.4604722984921028,1.0,0.622330608944472,VERY HIGH
Girang,396906,21,1,9,21,41.94569811946992,140.0,1999_7,,0.4083188653653599,1.0,0.5858232057557519,HIGH
Mehendinagar,396512,21,3,9,21,44.49861184508835,140.0,1999_7,,0.4763304081645044,1.0,0.6334312857151531,VERY HIGH
Karamakul,396917,21,1,10,21,43.68063013427864,140.0,1999_7,,0.41280276286138873,1.0,0.5889619340029721,HIGH
Hindulia,396895,21,3,9,21,45.718461326763915,140.0,1999_7,,0.46371586158636274,1.0,0.6246011031104539,VERY HIGH
Bagadia,396901,21,1,9,21,40.74690437909264,140.0,1999_7,,0.4118574649377675,1.0,0.5883002254564372,HIGH
Silipur,396900,21,1,9,21,42.227099906350844,140.0,1999_7,,0.4261142587172169,1.0,0.5982799811020518,VERY HIGH
Kan Pur,396908,21,1,9,21,42.96388979266653,140.0,1999_7,,0.42342119953992174,1.0,0.5963948396779453,VERY HIGH
Parakula,396783,23,2,10,23,47.62459492832726,140.0,1999_7,,0.45214911694747834,1.0,0.6165043818632348,VERY HIGH
Gopinathpur,396916,21,1,10,21,43.01359415277957,140.0,1999_7,,0.4072995896674467,1.0,0.5851097127672127,HIGH
Bara Tunga,396719,21,2,9,21,46.270773104843904,140.0,1999_7,,0.453425365152571,1.0,0.6173977556067997,VERY HIGH
Jaganathpur,396535,20,2,9,20,40.16074804089504,140.0,1999_7,,0.440630826419669,1.0,0.6084415784937682,VERY HIGH
Ramchandrapur,395847,20,3,11,20,5.551877747167814,140.0,1984_4,,0.4232524588649368,1.0,0.5962767212054557,VERY HIGH
Kuanrpal,396911,21,1,10,21,45.555632241387315,140.0,1999_7,,0.4319025146320391,1.0,0.6023317602424274,VERY HIGH
Badakul,396920,21,1,10,21,42.84433767905388,140.0,1999_7,,0.400406033708378,1.0,0.5802842235958645,HIGH
Narayanpur,396786,21,2,10,21,46.7743113147428,140.0,1999_7,,0.4446951439246628,1.0,0.6112866007472639,VERY HIGH
Dumuka,396907,21,1,9,21,42.08701795280685,140.0,1999_7,,0.41511985089269626,1.0,0.5905838956248873,HIGH
Pentha,396716,23,3,9,23,44.33199721158356,140.0,1999_7,,0.47765497335258866,1.0,0.634358481346812,VERY HIGH
Jagadispur,396522,21,3,9,21,41.22252005696484,140.0,1999_7,,0.4471288071860953,1.0,0.6129901650302667,VERY HIGH
Chakarpur,396516,21,3,9,21,42.43478308760317,140.0,1999_7,,0.4561146061116461,1.0,0.6192802242781523,VERY HIGH
Barei,396537,21,2,9,21,41.609116837282166,140.0,1999_7,,0.4410435495508446,1.0,0.6087304846855912,VERY HIGH
Arakhia,396538,21,2,9,21,41.23314834331265,140.0,1999_7,,0.43805283082476604,1.0,0.6066369815773363,VERY HIGH
Angulai,396518,21,2,9,21,43.01855465382147,140.0,1999_7,,0.4490580337826421,1.0,0.6143406236478495,VERY HIGH
Manitiri,397051,20,1,10,20,37.65706220450552,140.0,1999_7,,0.4055848406060306,1.0,0.5839093884242215,HIGH
Balia,396547,20,1,9,20,38.36915047538611,140.0,1999_7,,0.41283546491951467,1.0,0.5889848254436603,HIGH
Nembara,396546,20,1,9,20,38.97600688546886,140.0,1999_7,,0.41863685889500835,1.0,0.5930458012265059,HIGH
Panchanpur,396515,21,3,9,21,42.50850795339913,140.0,1999_7,,0.4588153301383891,1.0,0.6211707310968724,VERY HIGH
Anko,396785,23,2,10,23,47.49320983248591,140.0,1999_7,,0.4458683888687418,1.0,0.6121078722081192,VERY HIGH
Niladripur,396523,21,3,9,21,41.65057708063027,140.0,1999_7,,0.4514774495876138,1.0,0.6160342147113296,VERY HIGH
Jaganathpur,397094,20,1,12,20,39.20882708446149,140.0,1999_7,,0.3909757954372489,1.0,0.5736830568060742,MODERATE
Narendrapur,396543,20,1,9,20,39.59543387161435,140.0,1999_7,,0.42889420914502063,1.0,0.6002259464015144,VERY HIGH
Kulapada,396534,20,1,9,20,39.499386500984954,140.0,1999_7,,0.43340832111880767,1.0,0.6033858247831654,VERY HIGH
Garajanga Palli,396784,21,2,10,21,46.81420852168679,140.0,1999_7,,0.4502245092183354,1.0,0.6151571564528348,VERY HIGH
Nuagan,396520,21,2,9,21,41.49686788896084,140.0,1999_7,,0.44665443559182033,1.0,0.6126581049142742,VERY HIGH
Chadeiguan,397091,20,1,11,20,38.86986570141605,140.0,1999_7,,0.378285399954708,1.0,0.5647997799682956,MODERATE
Gaudabadpur,397092,20,1,12,20,39.52896024506048,140.0,1999_7,,0.3833076200271053,1.0,0.5683153340189737,MODERATE
Goja Bandha,397102,20,1,12,20,39.746777275910055,140.0,1999_7,,0.407196301083563,1.0,0.585037410758494,HIGH
Jalakana,397089,20,1,11,20,37.59529842358139,140.0,1999_7,,0.3808077858723627,1.0,0.5665654501106538,MODERATE
Maha Kala Para,397088,20,1,11,20,38.263184853148005,140.0,1999_7,,0.38347003028108206,1.0,0.5684290211967574,MODERATE
Samantsingharpur,396927,20,1,12,20,40.17421846868885,140.0,1999_7,,0.40156395061735184,1.0,0.5810947654321463,HIGH
Teragan,396926,21,1,12,21,40.94227170597539,140.0,1999_7,,0.3982598027695818,1.0,0.5787818619387073,HIGH
Nantar,397082,20,2,14,20,34.47604804928696,140.0,1999_7,,0.38544690915949853,1.0,0.5698128364116489,MODERATE
Aitipur,397044,20,1,11,20,35.23263666021201,140.0,1999_7,,0.37287363165986726,1.0,0.5610115421619071,MODERATE
Balia,396986,20,2,11,20,31.06391287250423,140.0,1999_7,,0.35519351326871546,1.0,0.5486354592881008,LOW
Janra,397064,20,2,11,20,35.577017698178494,140.0,1999_7,,0.3837092062673824,1.0,0.5685964443871676,MODERATE
Itakandia,396989,20,2,12,20,29.783857769757027,140.0,1999_7,,0.348314721390962,1.0,0.5438203049736734,LOW
Bada Rahama,396990,20,2,12,20,28.45013242523364,140.0,1999_7,,0.34231329348545453,1.0,0.5396193054398182,LOW
Mangalapur,397086,20,1,12,20,37.7782646816257,140.0,1999_7,,0.390285645480718,1.0,0.5731999518365025,MODERATE
Gamha,397087,20,1,11,20,37.500298648205685,140.0,1999_7,,0.3850769514488558,1.0,0.569553866014199,MODERATE
Gopalpur,397090,20,1,11,20,39.348716362564545,140.0,1999_7,,0.38265034822852106,1.0,0.5678552437599647,MODERATE
Balana,396904,21,1,11,21,39.81327598149481,140.0,1999_7,,0.3910060937301505,1.0,0.5737042656111053,MODERATE
Orata,397046,20,1,11,20,35.232524189428496,140.0,1999_7,,0.3820365805639969,1.0,0.5674256063947978,MODERATE
Raigada,397065,20,2,12,20,34.42101894969821,140.0,1999_7,,0.3801985736956462,1.0,0.5661390015869523,MODERATE
Ostara,396934,21,1,11,21,42.51454196456062,140.0,1999_7,,0.3980484976915095,1.0,0.5786339483840566,HIGH
Sarumunhi,397113,21,2,15,21,37.78927288644598,140.0,1999_7,,0.4119617965791239,1.0,0.5883732576053867,HIGH
Chhatar,396988,20,2,11,20,30.259634937380273,140.0,1999_7,,0.34859160016433466,1.0,0.5440141201150342,LOW
Mahula Kandha,397099,21,1,15,21,37.73500885503502,140.0,1999_7,,0.4040568890155396,1.0,0.5828398223108777,HIGH
Bachhuria,397109,21,2,15,21,38.30780861979894,140.0,1999_7,,0.41033568954384997,1.0,0.587234982680695,HIGH
Jemadeipur,397084,20,2,13,20,36.30793395789012,140.0,1999_7,,0.3943766543175435,1.0,0.5760636580222804,MODERATE
Kiar Banka,397063,20,1,11,20,36.116708747952195,140.0,1999_7,,0.37822192536135585,1.0,0.564755347752949,MODERATE
Pareswar Pur,397083,20,2,14,20,35.18050959578442,140.0,1999_7,,0.39144420229397503,1.0,0.5740109416057825,MODERATE
Sahabaj Pur,397062,20,1,11,20,35.29457342175323,140.0,1999_7,,0.36896928054594835,1.0,0.5582784963821639,LOW
Maliancha,397030,20,2,11,20,33.2684046577428,140.0,1999_7,,0.37095074349757357,1.0,0.5596655204483014,LOW
Babakar Pur,397055,20,1,11,20,37.779306924417384,140.0,1999_7,,0.38900470503327583,1.0,0.572303293523293,MODERATE
Ramakani,397060,20,1,11,20,35.62048898890234,140.0,1999_7,,0.3670090762149372,1.0,0.556906353350456,LOW
Barakandha,397106,21,1,12,21,39.61789856507519,140.0,1999_7,,0.41270139531635985,1.0,0.5888909767214519,HIGH
Kochila,397115,21,2,15,21,38.64169009837133,140.0,1999_7,,0.41617384903790083,1.0,0.5913216943265305,HIGH
Ghantia Palli,397040,20,2,11,20,33.08706656266828,140.0,1999_7,,0.3646755130180193,1.0,0.5552728591126135,LOW
Bandhapara,397101,20,1,12,20,39.133008909717866,140.0,1999_7,,0.4064094074235383,1.0,0.5844865851964768,HIGH
Gokhapada,396925,21,1,11,21,42.767651213560455,140.0,1999_7,,0.39443046225839556,1.0,0.5761013235808768,MODERATE
Sankhapada,397038,20,2,11,20,34.0615278956622,140.0,1999_7,,0.361193212085003,1.0,0.552835248459502,LOW
Mulubasanta,396984,20,2,11,20,30.375976387146984,140.0,1999_7,,0.3580828779914905,1.0,0.5506580145940434,LOW
Bijayanagar,397034,20,2,11,20,33.76740620477462,140.0,1999_7,,0.367419863355931,1.0,0.5571939043491516,LOW
Kalapara,397041,20,2,11,20,33.34309626606597,140.0,1999_7,,0.367797591287082,1.0,0.5574583139009575,LOW
Anduli,397042,20,1,11,20,34.29969192019175,140.0,1999_7,,0.37569857299976656,1.0,0.5629890010998366,MODERATE
Bilipada,397048,20,1,11,20,36.73696654166673,140.0,1999_7,,0.39394559863739054,1.0,0.5757619190461734,MODERATE
Sri Chandan Pur,397037,20,2,11,20,32.91010092870649,140.0,1999_7,,0.35793809444490254,1.0,0.5505566661114318,LOW
Palaspur,396905,21,1,10,21,40.68001898802923,140.0,1999_7,,0.3938236968943355,1.0,0.5756765878260348,MODERATE
Tithi,397085,20,1,11,20,36.3529633649545,140.0,1999_7,,0.3880895950436163,1.0,0.5716627165305314,MODERATE
Deula Pada,397058,20,1,11,20,36.394840233094754,140.0,1999_7,,0.3750309047706657,1.0,0.562521633339466,MODERATE
Rajagada,397054,20,1,10,20,39.02701165022538,140.0,1999_7,,0.3993783951674986,1.0,0.579564876617249,HIGH
Jagati,397066,20,2,12,20,33.15940279812854,140.0,1999_7,,0.37700700232217565,1.0,0.5639049016255229,MODERATE
Ranki,397032,20,2,12,20,31.612700387813724,140.0,1999_7,,0.36313356128121893,1.0,0.5541934928968533,LOW
Sikhar,397093,20,1,11,20,38.62366031298624,140.0,1999_7,,0.38151496731338846,1.0,0.5670604771193719,MODERATE
Dadhipur,397097,20,1,12,20,38.40519017940089,140.0,1999_7,,0.39771076137638545,1.0,0.5783975329634699,HIGH
Adoi,397110,21,2,15,21,36.92620222767546,140.0,1999_7,,0.40329348753611954,1.0,0.5823054412752837,HIGH
Karanja,396924,21,1,12,21,40.67435573275371,140.0,1999_7,,0.38882076701535345,1.0,0.5721745369107474,MODERATE
Dasi Pur,396902,21,1,10,21,40.48384632756384,140.0,1999_7,,0.4005638618705534,1.0,0.5803947033093872,HIGH
Adam Pur,396903,20,1,11,20,38.79554593890591,140.0,1999_7,,0.3878024550529825,1.0,0.5714617185370877,MODERATE
Chandia Palli,397061,20,1,11,20,36.950038627394214,140.0,1999_7,,0.37521347534766925,1.0,0.5626494327433684,MODERATE
Amirabad,397059,20,1,11,20,37.08432765534813,140.0,1999_7,,0.37251926601944546,1.0,0.5607634862136117,LOW
Badadihi,397026,20,2,12,20,30.025825561038292,140.0,1999_7,,0.3535296202806684,1.0,0.5474707341964679,LOW
Kanpur,397031,20,2,11,20,32.772224249022265,140.0,1999_7,,0.367097113229754,1.0,0.5569679792608278,LOW
Dia Rajagarh,397056,20,1,11,20,37.37256144088283,140.0,1999_7,,0.39213413601619024,1.0,0.5744938952113332,MODERATE
Oliha,397045,20,1,11,20,35.9355776108199,140.0,1999_7,,0.3798026016506344,1.0,0.565861821155444,MODERATE
Olihanilakanthapur,397057,20,1,11,20,36.85563015134317,140.0,1999_7,,0.3849531534154152,1.0,0.5694672073907906,MODERATE
Balipal,397039,20,1,11,20,34.569400528924035,140.0,1999_7,,0.3677141561372147,1.0,0.5573999092960502,LOW
Arada,397033,20,2,11,20,32.26550448493877,140.0,1999_7,,0.36325452235115724,1.0,0.55427816564581,LOW
Benupal,396922,21,1,11,21,41.83756152549811,140.0,1999_7,,0.3940072396595471,1.0,0.5758050677616829,MODERATE
Ekalapur,397027,20,2,12,20,31.285393935394186,140.0,1999_7,,0.3645060962348153,1.0,0.5551542673643707,LOW
Nachhi Pada,397049,20,1,11,20,37.36506046440494,140.0,1999_7,,0.3983610929732604,1.0,0.5788527650812823,HIGH
Basaghar,397043,20,1,11,20,34.32555338634191,140.0,1999_7,,0.3721413766856753,1.0,0.5604989636799727,LOW
Sahoo Pada,396985,20,2,11,20,30.55259066674784,140.0,1999_7,,0.3556790756767693,1.0,0.5489753529737385,LOW
Batakuli,397096,20,1,12,20,38.56972479704352,140.0,1999_7,,0.4002612434114766,1.0,0.5801828703880336,HIGH
Potakani,397108,21,1,15,21,38.89500127101365,140.0,1999_7,,0.4131453306458341,1.0,0.5892017314520839,HIGH
Niyamatpur,397050,20,1,10,20,37.35997572394999,140.0,1999_7,,0.40174091148543495,1.0,0.5812186380398044,HIGH
Dahimachha,396921,21,1,11,21,42.71558741879894,140.0,1999_7,,0.3937246028097766,1.0,0.5756072219668436,MODERATE
Rama Chandra Pur,396987,20,2,11,20,30.341461209225567,140.0,1999_7,,0.347651804753311,1.0,0.5433562633273177,LOW
Jasuapalli,397036,20,2,11,20,32.46748058238901,140.0,1999_7,,0.36167352986617135,1.0,0.5531714709063199,LOW
Potia,397035,20,2,11,20,31.58136529334586,140.0,1999_7,,0.35253133404065695,1.0,0.5467719338284598,LOW
Alailo,397047,20,1,11,20,35.55844537900299,140.0,1999_7,,0.38917690914112346,1.0,0.5724238363987864,MODERATE
Baulapara,397095,20,1,12,20,38.544416533966846,140.0,1999_7,,0.3937689086535632,1.0,0.5756382360574942,MODERATE
Gobardhanpur,396923,21,1,11,21,41.2146692324223,140.0,1999_7,,0.3906153171696926,1.0,0.5734307220187849,MODERATE
Kumbharapara,397098,20,1,12,20,37.32790490446999,140.0,1999_7,,0.3957543972736766,1.0,0.5770280780915735,MODERATE
Marichakani,397100,20,1,12,20,38.41709345231815,140.0,1999_7,,0.404409458311945,1.0,0.5830866208183615,HIGH
Baradia,395618,20,4,11,20,6.557703828609808,140.0,1984_4,,0.4162162939241283,1.0,0.5913514057468898,HIGH
Kusiapal,397069,20,2,14,20,30.27300153849825,140.0,1999_7,,0.3654529604743658,1.0,0.5558170723320561,LOW
Balisahipatna,395912,20,3,11,20,11.931365016813597,140.0,1984_4,,0.3805600725084401,1.0,0.566392050755908,MODERATE
Baulakani,397112,21,2,15,21,35.127578808602124,140.0,1999_7,,0.4017111567948981,1.0,0.5811978097564287,HIGH
Petchhela,396058,21,2,15,21,36.832621679896384,140.0,1999_7,,0.4128899547502377,1.0,0.5890229683251664,HIGH
Tanki Belari,397078,21,2,14,21,34.38795244168011,140.0,1999_7,,0.39311895159334387,1.0,0.5751832661153407,MODERATE
Narasingha Pur,397015,20,2,14,20,23.46264739114737,140.0,1999_7,,0.34045217369014774,1.0,0.5383165215831034,LOW
Maladhia,397081,21,2,14,21,34.63024002175806,140.0,1999_7,,0.3913644020501243,1.0,0.573955081435087,MODERATE
Babara,396992,20,2,12,20,27.83401912069599,140.0,1999_7,,0.34398688237808034,1.0,0.5407908176646562,LOW
Pancha Gachhia,397018,21,2,14,21,29.21880881232269,140.0,1999_7,,0.36799959472554294,1.0,0.5575997163078801,LOW
Kakat Pur,396993,20,2,12,20,28.391153195326815,140.0,1999_7,,0.3493163651978183,1.0,0.5445214556384728,LOW
Jamboo,396057,21,2,14,21,31.03850183022621,140.0,1999_7,,0.3864151587984844,1.0,0.5704906111589391,MODERATE
Sugal,397021,20,2,14,20,28.57402332310345,140.0,1999_7,,0.3601270364543153,1.0,0.5520889255180207,LOW
Bhitarsubala,397079,21,2,14,21,33.53273558633703,140.0,1999_7,,0.38914515225857904,1.0,0.5724016065810054,MODERATE
Maladhia,397004,21,2,14,21,24.23936515833004,140.0,1999_7,,0.3444043168042863,1.0,0.5410830217630004,LOW
Badatota Chhapali,397077,21,2,14,21,32.85388822517897,140.0,1999_7,,0.38957650125822957,1.0,0.5727035508807607,MODERATE
Bara Danga,397067,20,2,14,20,32.323630651804194,140.0,1999_7,,0.37663903886268796,1.0,0.5636473272038816,MODERATE
Kalatunga,396995,20,2,14,20,27.07556847116971,140.0,1999_7,,0.350527701628589,1.0,0.5453693911400123,LOW
Pankapal,397073,21,2,14,21,31.634404606682516,140.0,1999_7,,0.37908266286308906,1.0,0.5653578640041623,MODERATE
Baliganda Ratanpur,396997,20,2,12,20,25.912170222527205,140.0,1999_7,,0.34046673238817055,1.0,0.5383267126717194,LOW
Radia,397028,20,2,14,20,30.59022102558875,140.0,1999_7,,0.3657930342539523,1.0,0.5560551239777666,LOW
Kharianta,397023,20,2,14,20,29.46200084979419,140.0,1999_7,,0.3612856763270887,1.0,0.5528999734289621,LOW
Bhateni,397075,21,2,14,21,31.59818240628981,140.0,1999_7,,0.3864589207534728,1.0,0.570521244527431,MODERATE
Badamatha,397080,20,2,14,20,32.68985855347658,140.0,1999_7,,0.3816589662804333,1.0,0.5671612763963032,MODERATE
Bagagahan,397074,21,2,14,21,31.134058376530053,140.0,1999_7,,0.38001240748453935,1.0,0.5660086852391775,MODERATE
Kansapal,397076,21,2,14,21,32.166715440425165,140.0,1999_7,,0.38757820206209054,1.0,0.5713047414434633,MODERATE
Kansara,397071,20,2,14,20,30.922826702484883,140.0,1999_7,,0.37303269255567384,1.0,0.5611228847889717,MODERATE
Badadandua,397072,21,2,14,21,30.27098757072848,140.0,1999_7,,0.3732196735514031,1.0,0.5612537714859822,MODERATE
Bala Bhadrapur,397068,20,2,14,20,31.36561304639249,140.0,1999_7,,0.37268421633739135,1.0,0.560878951436174,LOW
Guludia,397022,20,2,14,20,28.370179073665458,140.0,1999_7,,0.3551096980437864,1.0,0.5485767886306505,LOW
Sana Rahama,396991,20,2,12,20,28.036908493290994,140.0,1999_7,,0.3425791556239817,1.0,0.5398054089367872,LOW
Bahar Subala,397029,20,2,12,20,31.75468687390001,140.0,1999_7,,0.37001472675794916,1.0,0.5590103087305645,LOW
Bhuinpada,397002,20,2,14,20,25.4652085418969,140.0,1999_7,,0.3471275635287522,1.0,0.5429892944701264,LOW
Badapal,397020,20,2,14,20,29.386129523634075,140.0,1999_7,,0.3656871190443245,1.0,0.5559809833310272,LOW
Sankachit,397003,20,2,14,20,24.63918209267669,140.0,1999_7,,0.344224188814424,1.0,0.5409569321700968,LOW
Tarapada,397070,20,2,14,20,29.78999708044098,140.0,1999_7,,0.3653804625435403,1.0,0.5557663237804782,LOW
Kandara Patia,396056,21,2,14,21,27.465904173887484,140.0,1999_7,,0.36421582418471743,1.0,0.5549510769293022,LOW
Nalitapatia,395760,20,4,11,20,6.7463374061438754,140.0,1984_4,,0.4149098092483814,1.0,0.590436866473867,HIGH
Kantilo,397019,21,2,14,21,28.74296345812953,140.0,1999_7,,0.36474550665232236,1.0,0.5553218546566256,LOW
Bada Baincha,397024,20,2,12,20,29.70259065849207,140.0,1999_7,,0.3587356542680353,1.0,0.5511149579876247,LOW
Kholanai,397025,20,2,12,20,29.576505543070013,140.0,1999_7,,0.3553519706292411,1.0,0.5487463794404688,LOW
Kiabaria,397111,21,2,15,21,36.486385741454974,140.0,1999_7,,0.4040593949236304,1.0,0.5828415764465413,HIGH
Gogua,396996,20,2,12,20,26.916412883771745,140.0,1999_7,,0.3429880582572007,1.0,0.5400916407800405,LOW
Panikhia,397000,20,2,14,20,25.234369792994137,140.0,1999_7,,0.343023377175368,1.0,0.5401163640227575,LOW
Bandha Para,396994,20,2,12,20,28.116399917272297,140.0,1999_7,,0.3499758148198123,1.0,0.5449830703738686,LOW
Baligarh,397131,21,5,15,21,35.38988623246951,140.0,1999_7,,0.4180804693095622,1.0,0.5926563285166935,HIGH
