slide_no,district,latitude,longitude,location,movement_type,history,source_page,source_text
KRL/KOZ/58A02/2015/61,Wayanad,11.501625,76.004372,,debris slide,,320,KRL/KOZ/58A02/2015/61 Kerala Kozhikode Valliyad Kaithapoil-Valliyad-Manalvayal Road 11.501625 76.004372 Debris Slide 2008 13644
KRL/MAL/54A03/2015/63,Wayanad,11.475014,76.16935,Churalmala,debris flow,,320,KRL/MAL/54A03/2015/63 Kerala Malappuram Karimattam Estate Churalmala Road 11.475014 76.16935 Debris Flow 1984 13634
KRL/MAL/58A07/2015/105,Wayanad,11.437911,76.392803,,debris slide,,320,KRL/MAL/58A07/2015/105 Kerala Malappuram Nadugani Betta On NH 212 from Vazhikadavu to Nadugani Betta road 11.437911 76.392803 Debris Slide NA 13619
KRL/WAY/54M14/2015/152,Wayanad,11.505833,75.867778,,debris flow,,320,KRL/WAY/54M14/2015/152 Kerala Wayanad Manicherimala Koorachundu-Kakkayam Road 11.505833 75.867778 Debris Flow 2004
KRL/WAY/58A02/2015/85,Wayanad,11.505794,76.135806,Churalmala,"rock cum debris slide, debris slide",,320,KRL/WAY/58A02/2015/85 Kerala Wayanad Tea Estate-Soochipara Rd Mepadi-Churalmala Road 11.505794 76.135806 Rock cum Debris Slide NA 13648
KER/KOZH/49M14/2007/0003,Wayanad,11.5169,75.8992,,subsidence,21 July 2007,321,KER/KOZH/49M14/2007/0003 Kerala Kozhikode Periyamala land rupture Kanthaladu 11.5169 75.8992 Debris Subsidence 21 July 2007 (03:50 hrs) 13663
KRL/KOZ/54M14/2015/119,Wayanad,11.525278,75.878333,,debris flow,,321,KRL/KOZ/54M14/2015/119 Kerala Wayanad North of Kilikudikkimala Koorachundu-Kakkayam Road 11.525278 75.878333 Debris Flow 1984 13676
KRL/KOZ/54M14/2015/120,Wayanad,11.519444,75.885,,debris slide,,321,KRL/KOZ/54M14/2015/120 Kerala Kozhikode Kilikudikkimala Thalayad-Kakkayam Road 11.519444 75.885 Debris Slide NA 13669
KRL/KOZ/54M14/2015/121,Wayanad,11.523333,75.886667,,debris slide,,321,KRL/KOZ/54M14/2015/121 Kerala Kozhikode 27th mile periyamala Thalayad-Kakkayam Road 11.523333 75.886667 Debris Slide 1984 13672
KRL/KOZ/54M14/2015/122,Wayanad,11.526944,75.890556,,debris flow,,321,KRL/KOZ/54M14/2015/122 Kerala Kozhikode 28th mile periyamala Thalayad-Kakkayam Road 11.526944 75.890556 Debris Flow 2008 13680
KRL/KOZ/54M14/2015/123,Wayanad,11.516389,75.893333,,debris slide,,321,KRL/KOZ/54M14/2015/123 Kerala Kozhikode East of Kilikudikimala Thalayad-Kakkayam Road 11.516389 75.893333 Debris Slide NA 13662
KRL/KOZ/54M14/2015/124,Wayanad,11.515833,75.8975,,debris flow,,321,KRL/KOZ/54M14/2015/124 Kerala Kozhikode Periyamala Thalayad-Kakkayam Road 11.515833 75.8975 Debris Flow 2007 13660
KRL/KOZ/54M14/2015/125,Wayanad,11.518333,75.899444,,debris slide,,321,KRL/KOZ/54M14/2015/125 Kerala Kozhikode Kilikudikkimala rubber plantation Thalayad-Kakkayam Road 11.518333 75.899444 Debris Slide 2007 13665
KRL/KOZ/54M14/2015/126,Wayanad,11.518889,75.8875,,debris slide,,321,KRL/KOZ/54M14/2015/126 Kerala Kozhikode Kilikudikkimala rubber plantation Thalayad-Kakkayam Road 11.518889 75.8875 Debris Slide 2007 13667
KRL/KOZ/54M14/2015/127,Wayanad,11.529722,75.876111,,"rock cum debris slide, debris slide",,321,KRL/KOZ/54M14/2015/127 Kerala Kozhikode Vattachira ponodumala Koorachundu-Kakkayam Road 11.529722 75.876111 Rock cum Debris Slide 2014 13683
KRL/KOZ/54M14/2015/129,Wayanad,11.516111,75.843889,,debris flow,,321,KRL/KOZ/54M14/2015/129 Kerala Kozhikode ponodumala Koorachundu-Kakkayam Road 11.516111 75.843889 Debris Flow 2004 13661
KRL/KOZ/54M14/2015/130,Wayanad,11.513611,75.846667,,debris flow,,321,KRL/KOZ/54M14/2015/130 Kerala Kozhikode Idinjakunnu Koorachundu-Kakkayam Road 11.513611 75.846667 Debris Flow 1984 13658
KRL/KOZ/54M14/2015/131,Wayanad,11.520556,75.859167,,debris flow,,321,KRL/KOZ/54M14/2015/131 Kerala Kozhikode Manicherimala Koorachundu-Kakkayam Road 11.520556 75.859167 Debris Flow 1984 13670
KRL/KOZ/54M14/2015/137,Wayanad,11.527778,75.878333,,debris flow,,321,KRL/KOZ/54M14/2015/137 Kerala Kozhikode Vallanod Koorachundu-Kakkayam Road 11.527778 75.878333 Debris Flow 1984 13681
KRL/KOZ/54M14/2015/138,Wayanad,11.520556,75.8725,,debris flow,,321,KRL/KOZ/54M14/2015/138 Kerala Kozhikode Poovathunchola Koorachundu-Kakkayam Road 11.520556 75.8725 Debris Flow 1984 13671
